type,name
"5,74E+15",imac_5k
"1,02E+12",macbook_i5
1282,imac
11935397,ext_hard_drive
2158,macbook_i7
12175397,nas
"2,17E+11",macbook_13
12215397,ssd_kit_air
1296,monitor
1405,graphics_tablet
1364,desktop_ram
"2,16E+11",imac_2
12655397,pc_hard_drive
11905404,gadgets
113271716,iphone_x
5384,headphone
51601716,iphone
1433,ssd_kit_mini
113281716,iphone_8_plus
113291716,iphone_8
85641716,iphone_7
12995397,thunderbolt_dock
1714,ipad
24895185,apple_watch_42
85651716,iphone_7_plus
106431714,ipad_pro
1231,applecare
21561716,iphone_6
11865403,iphone_case
12585395,usb_adapter
5398,bluetooth_speaker
21632158,mac_pro_ram
1298,refurbished
"5,39E+11",macbook_12
118692158,imac_pro
10142,macbook_battery
24885185,apple_watch_38
42945397,lightning_pendrive
51861714,ipad_pro_12
24821716,iphone_6s
13855401,keyboard
1325,usb_cable
13005399,macbook_charger
12575403,ipad_keyboard
1334,wifi_router
12755395,ssd_adapter_kit
9094,surveillance
12635403,ipad_protection
1230,lightning_cable
51882158,imac_3
13835403,macbook_protection
57445397,memory_card
51871714,ipad_pro_9
1387,mouse
1392,macbook_backpack
8696,macbook_support
1229,ipad_stylus
24811716,iphone_6s_plus
13615399,iphone_charger
1515,iphone_power_bank
"5,43E+15",imac_refurbished
14305406,mac_tools
42931714,ipad_air
1404,nas_accessory
13555403,iphone_protection
13621714,ipad_mini_4
11821715,ipod_touch
5401,bluetooth_keyboard
1416,software
12141714,ipad_air_2
1276,pcie_esata
101781405,wacom_accessory
5395,usb_strip
113464259,apple_tv
2449,apple_watch_strap
12645406,iphone_tools
5399,wireless_charger
24215399,watch_charging_dock
4259,apple_tv_refurbished
5720,iphone_support
10230,macbook_pro_back
5404,
"5,44E+11",
1280,
21485407,iphone_tools
1216,ipad_support
1424,
"1,44E+11",iphone_repair
"5,72E+15",
14365395,
"5,49E+11",iphone_battery_case
24861714,
5403,
1375,
21571716,
12355400,
20642062,
2425,
2434,
51912158,
5405,
14035403,
1716,
12051714,
54085407,
"5,45E+15",
11859,
54864259,
12085400,
12031714,
113851714,
21535407,
79201715,
13955395,
21622158,
54025401,
12285400,
15435404,
5407,
11434,
5406,
51902158,
12282,
5185,
"9,29E+11",
