LotArea,LotFrontage,TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,Expensive,MSZoning,Condition1,Heating,Street,CentralAir,Foundation,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,KitchenQual,FireplaceQu
8450,65.0,856,3,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,No,GLQ,Gd,
9600,80.0,1262,3,1,0,2,298,0,0,RL,Feedr,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Gd,ALQ,TA,TA
11250,68.0,920,3,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Mn,GLQ,Gd,TA
9550,60.0,756,3,1,0,3,0,0,0,RL,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,Gd,No,ALQ,Gd,Gd
14260,84.0,1145,4,1,0,3,192,0,0,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,GLQ,Gd,TA
14115,85.0,796,1,0,0,2,40,0,0,RL,Norm,GasA,Pave,Y,Wood,TA,TA,Gd,TA,No,GLQ,TA,
10084,75.0,1686,3,1,0,2,255,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Ex,TA,Av,GLQ,Gd,Gd
10382,,1107,3,2,0,2,235,0,0,RL,PosN,GasA,Pave,Y,CBlock,TA,TA,Gd,TA,Mn,ALQ,TA,TA
6120,51.0,952,2,2,0,2,90,0,0,RM,Artery,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,TA
7420,50.0,991,2,2,0,1,0,0,0,RL,Artery,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,GLQ,TA,TA
11200,70.0,1040,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,Rec,TA,
11924,85.0,1175,4,2,0,3,147,0,1,RL,Norm,GasA,Pave,Y,PConc,Ex,TA,Ex,TA,No,GLQ,Ex,Gd
12968,,912,2,0,0,1,140,176,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,
10652,91.0,1494,3,1,0,3,160,0,1,RL,Norm,GasA,Pave,Y,PConc,Gd,TA,Gd,TA,Av,Unf,Gd,Gd
10920,,1253,2,1,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,BLQ,TA,Fa
6120,51.0,832,2,0,0,2,48,0,0,RM,Norm,GasA,Pave,Y,BrkTil,TA,TA,TA,TA,No,Unf,TA,
11241,,1004,2,1,0,2,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,ALQ,TA,TA
10791,72.0,0,2,0,0,2,0,0,0,RL,Norm,GasA,Pave,Y,Slab,TA,TA,,,,,TA,
13695,66.0,1114,3,0,0,2,0,0,0,RL,RRAe,GasA,Pave,Y,PConc,TA,TA,TA,TA,No,GLQ,Gd,
7560,70.0,1029,3,0,0,1,0,0,0,RL,Norm,GasA,Pave,Y,CBlock,TA,TA,TA,TA,No,LwQ,TA,
